Date,Open,High,Low,Close
2018-01-02,1302.56,1318.896,1302.56,1317.3
2018-01-03,1317.3,1321.467,1307.633,1312.83
2018-01-04,1312.7,1325.96,1306.054,1322.1
2018-01-05,1322.15,1323.389,1313.854,1319.04
2018-01-08,1318.93,1322.126,1314.973,1320.3
2018-01-09,1320.3,1320.5,1309.02,1312.36
2018-01-10,1312.55,1327.725,1308.378,1316.48
2018-01-11,1316.52,1323.95,1315.881,1322.11
2018-01-12,1322.4,1339.346,1321.738,1337.48
2018-01-16,1340.34,1342.247,1332.062,1338.3
2018-01-17,1338.07,1344,1326.7,1326.7
2018-01-18,1326.56,1333.101,1324.392,1326.6
2018-01-19,1326.6,1338.039,1326.59,1331.03
2018-01-22,1331.46,1335.8,1328.613,1333.9
2018-01-23,1333.9,1341.8,1331.52,1341.3
2018-01-24,1341.3,1362.064,1339.689,1358.3
2018-01-25,1358.08,1366.056,1342.64,1348
2018-01-26,1348,1357.116,1344.812,1349.27
2018-01-29,1349.19,1352.367,1337.763,1339.94
2018-01-30,1340.4,1348.907,1334.611,1338.35
2018-01-31,1338.4,1347.6,1332.877,1344.57
2018-02-01,1344.629,1351.1,1337.423,1348.35
2018-02-02,1348.55,1350.049,1327.592,1332.5
2018-02-05,1332.5,1341.595,1329.171,1339.25
2018-02-06,1339.4,1346.1,1320.378,1324.15
2018-02-07,1323.859,1332.296,1311.572,1318.26
2018-02-08,1318.119,1322.151,1307.248,1318.8
2018-02-09,1318.65,1322.7,1311.29,1315.71
2018-02-12,1315.71,1327.055,1314.394,1322.6
2018-02-13,1322.65,1330.991,1321.79,1329.45
2018-02-14,1329.4,1355.68,1318.164,1350.42
2018-02-15,1350.22,1357.12,1348.713,1353.2
2018-02-16,1353.4,1361.716,1344.943,1346.78
2018-02-20,1346.63,1348.2,1328.635,1328.75
2018-02-21,1329.1,1336.21,1322.544,1324.4
2018-02-22,1324.288,1332.046,1321.114,1332
2018-02-23,1331.729,1332.2,1325.964,1328.37
2018-02-26,1328.38,1341.042,1326.772,1333.15
2018-02-27,1333.1,1336.699,1313.565,1318.2
2018-02-28,1318.4,1322.6,1315.791,1318.2
2018-03-01,1317.859,1321.11,1302.97,1316.9
2018-03-02,1316.9,1325.5,1315.37,1322.3
2018-03-05,1322.3,1327.8,1317.631,1319.75
2018-03-06,1320,1338.5,1320,1334.2
2018-03-07,1334.4,1340.5,1322.378,1325.4
2018-03-08,1325.3,1329,1319.184,1321.699
2018-03-09,1321.6,1325.129,1312.951,1322.91
2018-03-12,1322.91,1324.246,1315.234,1323
2018-03-13,1322.728,1328.296,1314.07,1326.2
2018-03-14,1325.8,1330.01,1321.594,1324.7
2018-03-15,1324.418,1327.91,1315.06,1316.2
2018-03-16,1316.15,1321.726,1309.804,1313.8
2018-03-19,1313.62,1319.64,1307.87,1316.7
2018-03-20,1316.24,1318.246,1307.32,1311.1
2018-03-21,1310.949,1336.659,1309.973,1331.7
2018-03-22,1331.38,1334.889,1324.957,1328.6
2018-03-23,1328.88,1350.218,1328.88,1346.92
2018-03-26,1346.99,1355.92,1343.604,1353.5
2018-03-27,1353.12,1356.83,1339.96,1344.9
2018-03-28,1345.25,1347,1323.602,1324.8
2018-03-29,1324.6,1328.316,1321.37,1325.05
2018-04-02,1325.06,1344.9,1324.97,1341.3
2018-04-03,1340.38,1342.491,1329.02,1332.3
2018-04-04,1332.7,1348.4,1331.61,1333
2018-04-05,1332.86,1334.89,1322.88,1326.2
2018-04-06,1326.14,1335.5,1319.829,1333.41
2018-04-09,1333.11,1337.949,1327.032,1336.2
2018-04-10,1336.05,1342.6,1331.23,1339.4
2018-04-11,1339,1365.243,1339,1352.9
2018-04-12,1352.65,1353.159,1333.934,1334.4
2018-04-13,1334.6,1347.2,1333.417,1345.75
2018-04-16,1345.25,1350.7,1340.348,1345.6
2018-04-17,1346,1349.384,1337.833,1347.1
2018-04-18,1347.31,1355.9,1342.464,1349.1
2018-04-19,1349.16,1354.8,1341.1,1345.5
2018-04-20,1345.586,1346.286,1335.115,1335.52
2018-04-23,1335.22,1335.89,1322.288,1324.5
2018-04-24,1324.35,1332.65,1322.249,1330.2
