Date,Open,High,Low,Close,Volume
2017-01-11,0.6501,0.7,0.6501,3.4035,353701
2017-01-12,0.6849,0.685,0.6702,3.3755,188786
2017-01-13,0.6658,0.71,0.6658,3.4815,559724
2017-01-17,0.696,0.7,0.68,3.415,514042
2017-01-18,0.681,0.6875,0.6505,3.3,356657
2017-01-19,0.6511,0.6839,0.635,3.2455,396784
2017-01-20,0.65,0.67,0.645,3.25,292971
2017-01-23,0.6501,0.6599,0.6382,3.215,186089
2017-01-24,0.6547,0.6547,0.62,3.158,617537
2017-01-25,0.6232,0.6449,0.62,3.1,232656
2017-01-26,0.622,0.6548,0.62,3.127,160203
2017-01-27,0.62,0.645,0.62,3.1825,302306
2017-01-30,0.62,0.6347,0.61,3.06,237996
2017-01-31,0.61,0.6355,0.59,2.9925,353696
2017-02-01,0.5999,0.61,0.5907,3.0075,368537
2017-02-02,0.594,0.61,0.5921,3.026,138804
2017-02-03,0.602,0.64,0.593,3.1005,393942
2017-02-06,0.63,0.64,0.5891,2.9455,505581
2017-02-07,0.5987,0.623,0.59,3.0575,240411
2017-02-08,0.6174,0.6174,0.5968,3.042,136438
2017-02-09,0.594,0.615,0.594,3.0745,228032
2017-02-10,2.85,3.18,2.8,3.1,1648
2017-02-13,3.07,3.266,3.06,3.12,151902
2017-02-14,3.11,3.1301,3.06,3.12,57095
2017-02-15,3.12,3.21,3.06,3.14,40394
2017-02-16,3.12,3.13,3.0301,3.04,34509
2017-02-17,3.01,3.16,3.0,3.11,63319
2017-02-21,3.1,3.38,3.09,3.33,117894
2017-02-22,3.35,3.35,3.06,3.13,74686
2017-02-23,3.11,3.24,3.075,3.17,108055
2017-02-24,3.13,3.2,3.055,3.06,71077
2017-02-27,3.07,3.09,3.02,3.04,33292
2017-02-28,3.02,3.05,2.91,2.93,67148
2017-03-01,2.95,3.12,2.9,2.9119,63347
2017-03-02,2.93,2.95,2.89,2.92,53709
2017-03-03,2.86,2.96,2.85,2.9,111111
2017-03-06,2.88,2.88,2.675,2.6999,63909
2017-03-07,2.67,2.68,2.23,2.41,233625
2017-03-08,2.42,2.4804,2.26,2.29,61664
2017-03-09,2.25,2.32,2.25,2.26,65653
2017-03-10,2.24,2.32,2.15,2.3,62106
2017-03-13,2.3,2.46,2.225,2.36,98121
2017-03-14,2.34,2.44,2.3,2.3,28249
2017-03-15,2.3,2.41,2.29,2.35,30139
2017-03-16,2.38,2.44,2.3621,2.4263,14805
2017-03-17,2.44,2.7,2.39,2.52,167273
2017-03-20,2.51,2.55,2.4,2.43,57155
2017-03-21,2.44,2.4546,2.4,2.42,29826
2017-03-22,2.42,2.4299,2.4,2.42,38427
2017-03-23,2.42,2.45,2.4,2.4,40359
2017-03-24,2.4,2.4506,2.4,2.42,20146
2017-03-27,2.4,2.5,2.4,2.41,55611
2017-03-28,2.3,2.48,2.3,2.39,82959
2017-03-29,2.49,2.49,2.34,2.36,60396
2017-03-30,2.34,2.37,2.34,2.37,30414
2017-03-31,2.37,2.42,2.35,2.4,31037
2017-04-03,2.38,2.44,2.34,2.36,62190
2017-04-04,2.39,2.64,2.3801,2.47,108006
2017-04-05,2.5,2.65,2.409,2.49,66771
2017-04-06,2.5,2.62,2.46,2.58,97015
2017-04-07,2.54,2.64,2.5154,2.62,18424
2017-04-10,2.6,2.78,2.55,2.67,94570
2017-04-11,2.67,2.82,2.6,2.67,67684
2017-04-12,2.65,2.72,2.52,2.57,52112
2017-04-13,2.54,2.62,2.5,2.5,29663
2017-04-17,2.51,2.58,2.5,2.5,18567
2017-04-18,2.48,2.53,2.34,2.43,89391
2017-04-19,2.42,2.495,2.39,2.41,25390
2017-04-20,2.41,2.49,2.37,2.46,26296
2017-04-21,2.41,2.4733,2.37,2.39,67860
2017-04-24,2.41,2.42,2.34,2.35,37134
2017-04-25,2.36,2.42,2.3501,2.38,20034
2017-04-26,2.35,2.475,2.35,2.42,22178
2017-04-27,2.38,2.5,2.37,2.44,58812
2017-04-28,2.43,2.47,2.38,2.4337,91379
2017-05-01,2.42,2.44,2.3801,2.4,32208
2017-05-02,2.39,2.44,2.39,2.4,11835
2017-05-03,2.39,2.48,2.39,2.48,41404
2017-05-04,2.5,2.5,2.3917,2.47,41883
2017-05-05,2.42,2.5,2.4,2.41,21961
2017-05-08,2.45,2.52,2.44,2.49,24881
2017-05-09,2.45,2.52,2.44,2.45,50117
2017-05-10,2.44,2.63,2.44,2.51,59057
2017-05-11,2.5,2.65,2.48,2.61,58046
2017-05-12,2.64,2.8099,2.54,2.78,71840
2017-05-15,2.78,2.8,2.72,2.74,37798
2017-05-16,2.73,2.75,2.52,2.6,32747
2017-05-17,2.57,2.69,2.5,2.52,27259
2017-05-18,2.5,2.57,2.46,2.52,29663
2017-05-19,2.53,2.89,2.5,2.89,128810
2017-05-22,2.92,2.92,2.67,2.81,35267
2017-05-23,2.79,2.92,2.74,2.78,23798
2017-05-24,2.77,2.87,2.77,2.81,6601
2017-05-25,2.8,2.89,2.7872,2.86,20847
2017-05-26,2.84,2.85,2.79,2.79,34912
2017-05-30,2.8,2.81,2.71,2.74,14032
2017-05-31,2.74,2.75,2.64,2.71,27072
2017-06-01,2.69,2.73,2.66,2.68,30470
2017-06-02,2.65,2.75,2.65,2.7,18446
