Date,Open,High,Low,Close,Volume
2016-01-07,96.7,100.5,93.46,1.86023361175338,14181200
2016-01-08,95.63,97.37,90.97,1.81631144818943,13825800
2016-01-11,93.29,94.03,87.9,1.83221094073113,14007400
2016-01-12,94.67,96.73,91.4,1.89402000607733,13230000
2016-01-13,96.45,97.12,85.0,1.69587330345224,17225000
2016-01-14,86.41,93.15,82.3,1.80557931109494,15142400
2016-01-15,81.78,85.3,78.93,1.63962901975333,23482800
2016-01-19,85.73,86.12,80.01,1.64658498190674,10801200
2016-01-20,78.96,84.78,73.54,1.63167926354534,23112400
2016-01-21,83.13,86.01,79.86,1.63764163038706,14088000
2016-01-22,87.25,89.64,86.51,1.77874905779301,11953400
2016-01-25,88.7,90.09,85.3,1.69865568433874,11545200
2016-01-26,86.6,88.95,84.38,1.74714901436402,10126600
2016-01-27,86.31,87.41,80.2,1.61717113037837,14929800
2016-01-28,85.19,85.4,80.51,1.68096758509085,13148800
2016-01-29,84.77,90.09,84.55,1.79047481007348,10738200
2016-02-01,88.62,91.74,87.65,1.80061073830781,9510000
2016-02-02,89.53,89.53,84.02,1.68633356420379,10702800
2016-02-03,86.45,86.47,79.14,1.66248449432272,19637600
2016-02-04,82.82,85.55,80.65,1.65950331090186,11834800
2016-02-05,82.7,82.78,73.98,1.48878322943319,17907400
2016-02-08,70.73,72.38,67.34,1.42081303445949,21456800
2016-02-09,68.54,73.99,68.22,1.40431749205196,19145600
2016-02-10,73.25,75.92,71.39,1.42101181711956,15647000
2016-02-11,68.8,72.91,68.18,1.41763322737289,19878200
2016-02-12,73.56,74.68,71.62,1.4780510923387,13184600
2016-02-16,77.82,79.32,76.37,1.57642877390102,12471400
2016-02-17,81.33,85.23,80.6,1.68533994901782,15218000
2016-02-18,85.7,85.73,81.65,1.62810189113861,10745800
2016-02-19,80.99,83.46,80.22,1.64499501874056,9955600
2016-02-22,85.02,86.97,84.78,1.72270355675417,10344400
2016-02-23,85.15,85.89,82.28,1.63684663886683,11159400
2016-02-24,79.57,85.1,78.04,1.68553859255784,14606600
2016-02-25,85.37,87.25,83.05,1.73204451334256,10816600
2016-02-26,89.14,89.35,86.36,1.7280695557414,10357400
2016-02-29,86.75,88.69,84.65,1.68235878547125,9582000
2016-03-01,86.97,92.77,86.28,1.84334050402572,12964000
2016-03-02,92.4,92.95,90.71,1.84532789339199,8082200
2016-03-03,92.61,92.69,90.37,1.83499334149192,8608200
2016-03-04,92.68,94.26,90.63,1.83817314857852,9910200
2016-03-07,91.05,92.67,88.77,1.80398934792876,7880200
2016-03-08,88.84,91.25,88.02,1.75629116841805,8856800
2016-03-09,89.56,90.22,88.0,1.7898786210876,8681000
2016-03-10,91.5,92.86,86.27,1.78312142171998,14310600
2016-03-11,92.62,94.47,91.83,1.8755369153092,7069200
2016-03-14,93.42,95.62,93.31,1.88646767606943,6548600
2016-03-15,93.96,95.12,93.01,1.8852752782234,8046600
2016-03-16,94.02,98.09,94.02,1.93337102305425,7352400
2016-03-17,96.54,97.87,95.41,1.92780624140695,5312800
2016-03-18,97.8,98.38,96.11,1.93893580470154,6147400
2016-03-21,97.14,99.05,96.95,1.9619900420567,5667000
2016-03-22,97.12,100.35,97.03,1.97947935864453,5300600
2016-03-23,99.07,99.29,96.55,1.93237738799398,6435600
2016-03-24,95.65,97.38,95.3,1.93178104001378,5292600
2016-03-28,98.18,98.2,96.38,1.92482505798609,5391000
2016-03-29,96.32,101.7,95.85,2.01684312537522,7491400
2016-03-30,103.33,104.91,102.34,2.0470519882981,8745200
2016-03-31,102.77,103.92,102.07,2.03512745335757,4938400
2016-04-01,100.84,105.93,100.27,2.10289870667687,6792600
2016-04-04,105.65,106.0,103.87,2.07686342502089,5693000
2016-04-05,102.11,103.32,101.16,2.02101670664212,6118400
2016-04-06,102.0,106.64,101.9,2.11780442503827,7587000
2016-04-07,104.75,105.27,100.63,2.02638270562934,10509400
2016-04-08,103.81,104.53,100.66,2.02161291550228,6926800
2016-04-11,103.04,104.55,100.55,1.99994985865322,5710800
2016-04-12,100.82,103.68,98.94,2.046654562098,7601000
2016-04-13,105.49,107.51,105.07,2.1265491528922,6757600
2016-04-14,107.03,108.25,106.23,2.1279403532726,4635000
2016-04-15,106.72,107.48,105.44,2.11164343453081,3462200
2016-04-18,105.37,108.04,105.16,2.14284607163399,4195800
2016-04-19,108.9,109.0,104.25,2.10587987022344,6607600
2016-04-20,105.82,107.65,104.84,2.11104722567064,4490400
2016-04-21,106.16,107.36,104.81,2.11164343453081,5561400
2016-04-22,102.17,103.55,98.98,2.01604813385498,8388400
2016-04-25,100.33,101.42,99.93,2.01445817068881,4039600
2016-04-26,101.95,102.57,99.02,1.98683290599236,4554800
2016-04-27,96.94,98.19,95.06,1.93913458736161,7625200
2016-04-28,97.89,99.57,93.44,1.870369559862,6698800
2016-04-29,93.79,94.56,90.3,1.84055812313921,7969200
2016-05-02,93.19,95.49,92.05,1.88925007683023,4917400
2016-05-03,93.07,94.32,91.68,1.83896814009875,6081800
2016-05-04,90.83,91.77,89.98,1.80259814754837,6464400
2016-05-05,91.56,92.24,90.01,1.8016045323624,5999000
2016-05-06,89.2,92.04,88.95,1.82763979414409,6524600
2016-05-09,92.05,94.03,91.92,1.84373793022581,4939200
2016-05-10,93.76,96.72,93.28,1.92104906191362,4853400
2016-05-11,96.19,97.04,93.88,1.86858079416147,5294400
2016-05-12,94.76,94.93,90.76,1.84234672984542,7697600
2016-05-13,92.64,94.16,91.15,1.82008762313052,6498600
2016-05-16,91.95,96.12,91.85,1.89024385101053,4887200
2016-05-17,95.0,95.67,90.79,1.81770264856983,7801200
2016-05-18,90.95,93.99,90.32,1.83837193123859,9915400
2016-05-19,91.37,92.14,89.05,1.80935548603603,10587400
2016-05-20,92.15,95.16,91.99,1.86977335100184,5223000
2016-05-23,94.32,95.38,93.43,1.86063119694781,3622000
2016-05-24,95.23,99.65,95.16,1.9745107858574,6250200
2016-05-25,100.49,102.35,99.93,2.01704176891525,5868600
2016-05-26,101.83,102.71,101.02,2.03393487664291,3969600
2016-05-27,102.51,103.96,102.5,2.06454130488593,4454000
2016-05-31,104.45,104.99,102.95,2.07686342502089,4706200
2016-06-01,103.55,105.21,103.27,2.07765841654112,4189000
2016-06-02,103.83,105.19,102.2,2.08938416882159,4360800
2016-06-03,104.53,104.72,101.66,2.06076528893917,6480400
2016-06-06,104.16,105.63,103.72,2.08282577198832,3583200
2016-06-07,105.14,105.3,103.86,2.06811869716696,3212800
2016-06-08,104.63,105.18,103.4,2.07726085122099,3427600
2016-06-09,103.27,104.37,102.67,2.06811869716696,4155400
2016-06-10,101.26,101.78,99.43,1.99855867814712,6740000
2016-06-13,98.87,100.45,97.6,1.94728310635538,4960400
2016-06-14,97.18,98.99,95.8,1.94827674141564,5905400
2016-06-15,98.67,98.99,96.61,1.93078742482781,4432400
2016-06-16,95.72,98.23,93.78,1.94469934913461,6848400
2016-06-17,97.45,97.45,93.85,1.87812051353564,6959200
2016-06-20,97.89,99.13,96.06,1.91190674886526,5801800
2016-06-21,96.79,97.77,96.11,1.93098620748788,3600600
2016-06-22,97.44,99.05,96.25,1.91846530469285,4304000
2016-06-23,98.77,100.64,97.55,1.99935364979306,5356600
2016-06-24,90.0,94.35,87.6,1.75450240271752,13562600
2016-06-27,86.27,86.39,81.8,1.6523485462141,9831800
2016-06-28,85.67,88.47,85.59,1.75589358322362,8311200
2016-06-29,90.51,93.59,90.34,1.84711665909252,8686000
2016-06-30,93.5,96.43,92.6,1.91429172342595,6908800
2016-07-01,96.15,98.81,96.04,1.94052576786771,5476000
2016-07-05,96.38,96.56,94.36,1.90614334355222,5455800
2016-07-06,94.6,98.38,93.67,1.95105912230214,7228200
2016-07-07,98.61,99.8,97.75,1.96954221307027,5259600
2016-07-08,100.57,103.92,100.3,2.0605665062791,6251800
2016-07-11,104.86,106.66,104.76,2.09574394198911,5943600
2016-07-12,107.41,107.96,106.69,2.12873534479283,4824600
2016-07-13,107.98,108.04,106.29,2.11382962643144,5267200
2016-07-14,108.47,109.1,107.71,2.15675801581509,4579400
2016-07-15,109.22,109.41,107.25,2.14463483733452,3559000
2016-07-18,108.2,110.68,108.11,2.18736444405811,3494200
2016-07-19,109.0,109.92,108.34,2.16470775214879,3277800
2016-07-20,110.59,113.32,110.27,2.23883893762995,3780200
2016-07-21,112.99,113.58,111.02,2.22552318243473,4700200
2016-07-22,112.24,113.7,111.14,2.25135968143065,3616800
2016-07-25,113.03,113.39,112.2,2.25334707079692,3176800
2016-07-26,113.27,114.96,112.0,2.26089940080482,5681400
2016-07-27,116.55,116.97,114.61,2.30502034702883,5440200
2016-07-28,116.62,117.68,115.52,2.33006185450452,3630000
2016-07-29,118.08,118.98,116.94,2.34536513818605,4276400
2016-08-01,118.3,120.77,117.86,2.38213255693653,4388200
2016-08-02,119.35,119.69,114.87,2.32847203045838,6712800
2016-08-03,116.9,118.33,116.67,2.35053235451321,3555600
2016-08-04,118.24,119.67,117.37,2.3715992025021,3501200
2016-08-05,121.26,123.55,120.75,2.44016544734164,5145000
2016-08-08,122.99,123.06,121.17,2.43241447379372,3162600
2016-08-09,122.6,124.33,122.4,2.44851260987544,3325800
2016-08-10,123.29,123.48,121.25,2.42963209290721,3655000
2016-08-11,123.4,124.6,122.73,2.46103351267046,2860400
2016-08-12,123.1,124.06,122.74,2.46560452013746,2844800
2016-08-15,124.5,126.45,124.38,2.49660851370062,2385600
2016-08-16,124.89,125.0,123.47,2.45725733772937,2608200
2016-08-17,123.64,124.31,121.58,2.4687844663441,3743200
2016-08-18,123.83,124.82,123.2,2.47116928191047,2364800
2016-08-19,123.66,124.97,122.62,2.4677906921638,3067400
2016-08-22,123.58,125.09,122.94,2.47017566672449,3051800
2016-08-23,125.8,126.52,124.94,2.48488260242582,2610600
2016-08-24,124.85,125.39,121.45,2.43698564025504,2966600
2016-08-25,121.65,123.16,121.23,2.42545851164031,2435200
2016-08-26,122.2,124.96,120.4,2.43718426392078,4471400
2016-08-29,122.7,124.07,122.63,2.44394160240844,2076400
2016-08-30,122.52,123.55,120.62,2.42188113923358,2739600
2016-08-31,121.33,121.88,119.95,2.41552136606605,2984000
2016-09-01,121.62,122.82,119.82,2.42625350316055,3581400
2016-09-02,124.25,124.99,122.21,2.45467373950294,3780800
2016-09-06,124.25,125.9,123.4,2.50018588610735,2749400
2016-09-07,126.19,126.74,124.69,2.50475689357435,2419800
2016-09-08,125.0,125.07,122.91,2.4618285041907,2919400
2016-09-09,120.85,121.6,114.48,2.27520891030604,6704800
2016-09-12,112.76,121.14,112.55,2.39187089997643,5443800
2016-09-13,118.74,119.88,115.69,2.33542799261178,5221200
2016-09-14,117.81,121.0,117.69,2.3654380728746,4647000
2016-09-15,119.2,125.13,119.1,2.47514423951163,5494200
2016-09-16,124.23,124.82,122.6,2.47236185862512,3396800
2016-09-19,125.35,126.53,122.11,2.43996666468157,3819600
2016-09-20,124.0,125.0,122.88,2.45348118266257,3157600
2016-09-21,125.0,127.61,122.89,2.52482996738294,5775000
2016-09-22,129.42,130.56,128.96,2.58385649284831,3254200
2016-09-23,129.6,129.67,127.08,2.53735071118364,3044400
2016-09-26,125.47,125.92,123.88,2.47434924799139,3411800
2016-09-27,124.36,128.26,123.88,2.5445054758714,3454200
2016-09-28,128.49,128.96,126.78,2.55841742005249,3154000
2016-09-29,128.18,128.81,124.31,2.50416068471418,4784600
2016-09-30,127.16,129.87,126.53,2.5556350192917,3332800
2016-10-03,128.15,128.68,126.65,2.54987161397866,3406600
2016-10-04,129.21,130.15,126.17,2.53536332181737,4675200
2016-10-05,128.73,130.15,128.55,2.56179600979916,2869000
2016-10-06,128.42,129.53,126.87,2.55782121119233,3105400
2016-10-07,129.11,129.59,126.02,2.54112688612473,3773400
2016-10-10,129.75,131.17,129.68,2.58663887373481,2495400
2016-10-11,129.88,130.04,123.05,2.47971524697862,5401800
2016-10-12,124.9,125.67,123.24,2.47454803065146,3419000
2016-10-13,121.91,124.06,119.67,2.44553158544891,4351200
2016-10-14,124.71,126.32,123.22,2.4510963670962,3408800
2016-10-17,123.3,123.94,121.99,2.43420323949425,2327600
2016-10-18,126.75,127.43,125.5,2.49660851370062,3207000
2016-10-19,125.39,126.17,124.99,2.49760212888659,1960600
2016-10-20,125.09,126.02,123.02,2.48706877445216,2914600
2016-10-21,125.41,126.79,124.23,2.51409783028844,2443000
2016-10-24,129.06,131.37,128.96,2.60571833235744,2860400
2016-10-25,131.23,131.42,129.29,2.57968305070145,2488000
2016-10-26,127.3,129.36,126.1,2.53019596637017,3971200
2016-10-27,128.87,129.18,124.96,2.49481974800008,4293400
2016-10-28,124.34,126.34,122.0,2.45169257595637,5956600
2016-10-31,124.56,124.56,122.6,2.43778063177527,2371000
2016-11-01,123.45,123.45,116.82,2.38769731870953,4246800
2016-11-02,119.74,120.55,116.21,2.32549084703752,3406800
2016-11-03,116.53,117.63,113.21,2.25851442624412,3625600
2016-11-04,112.59,115.07,111.78,2.23287657078823,3538400
2016-11-07,117.79,120.78,117.33,2.39286469403102,4206800
2016-11-08,120.0,124.38,119.2,2.43976802114154,4459400
2016-11-09,118.41,125.03,118.07,2.4739518217913,7637200
2016-11-10,125.99,126.7,113.47,2.35629591882057,10332000
2016-11-11,116.73,119.32,115.6,2.35430850958001,4728800
2016-11-14,118.68,118.94,113.16,2.27481134498591,7398000
2016-11-15,117.36,120.85,117.03,2.38014514769597,4398800
2016-11-16,117.95,122.09,117.95,2.41889995581272,3597400
2016-11-17,121.63,124.53,120.87,2.47494545685156,3147400
2016-11-18,124.76,125.57,122.75,2.44712140949504,2627400
2016-11-21,123.91,127.22,123.86,2.52065638611604,3484400
2016-11-22,128.37,129.0,127.08,2.54331305815107,3195000
2016-11-23,126.74,127.17,124.8,2.51270662990805,3076000
2016-11-25,127.03,127.84,126.51,2.53695330485783,1595000
2016-11-28,127.07,128.6,126.42,2.52284255814238,2977800
2016-11-29,127.05,129.92,126.12,2.54708923309216,3107600
2016-11-30,128.42,128.73,123.33,2.4646108850772,6304000
2016-12-01,123.38,123.39,116.47,2.32926686298429,7766000
2016-12-02,117.31,119.16,116.27,2.33860779969838,4291000
2016-12-05,119.57,121.88,117.92,2.39266589149666,3747600
2016-12-06,121.32,121.95,119.84,2.40995658441875,2885600
2016-12-07,120.55,126.36,119.5,2.49939089458712,6202800
2016-12-08,126.08,127.55,125.35,2.51469403914861,4709000
2016-12-09,127.96,129.71,127.96,2.57352206019399,4278000
2016-12-12,127.72,128.54,126.22,2.53774827650377,3964600
2016-12-13,129.08,134.73,128.9,2.63692081046629,7049800
2016-12-14,132.94,134.38,130.58,2.6176430262923,5932400
2016-12-15,132.07,134.7,131.36,2.63354222071963,4434400
2016-12-16,133.13,133.99,130.17,2.60154459209621,4781400
2016-12-19,131.45,134.9,130.86,2.6333435771796,3482200
2016-12-20,133.54,134.75,133.3,2.66514256226298,2616000
2016-12-21,134.15,134.42,132.79,2.65580162554889,2012000
2016-12-22,133.69,133.87,131.04,2.63274736831943,2730000
2016-12-23,131.93,132.94,131.5,2.64089590718749,1337200
2016-12-27,133.6,137.13,133.46,2.67945207176421,3151800
2016-12-28,135.64,136.07,131.41,2.6174440846379,3805800
2016-12-29,131.63,132.46,129.88,2.60472455817714,3572000
2016-12-30,131.81,131.89,126.0,2.52860612244974,4391000
2017-01-03,129.61,131.89,128.37,2.58981883981574,4068600
2017-01-04,130.91,133.26,130.74,2.63393978603976,2771400
2017-01-05,132.42,135.05,132.3,2.68064448948454,2557200
2017-01-06,135.13,139.36,134.1,2.74861452546392,3991600
2017-01-09,138.64,140.4,138.36,2.7764384138261,2757200
2017-01-10,139.64,141.82,138.91,2.7923379063678,2764000
2017-01-11,140.6,141.68,138.54,2.81380218055679,3921000
2017-01-12,70.09,70.64,68.53,2.79949265118127,3354900
2017-01-13,70.66,71.58,70.64,2.83168892334471,2442200
2017-01-17,70.6,71.0,69.96,2.80505745270285,2313800
2017-01-18,70.9,71.19,70.33,2.82413689145119,2055400
2017-01-19,71.25,72.04,70.46,2.81658458131758,2488800
2017-01-20,71.8,72.35,70.8,2.83486888942564,2368600
2017-01-23,71.1,71.8,70.17,2.84122878183892,2302100
2017-01-24,71.87,73.28,71.57,2.90045408996436,2153800
2017-01-25,74.29,75.21,74.13,2.98511845101133,2339500
2017-01-26,75.44,75.86,75.01,2.99744075001491,2119000
2017-01-27,75.8,76.02,75.08,3.01174996140177,1385400
2017-01-30,74.97,75.01,72.78,2.94338263834234,3126800
2017-01-31,73.29,73.64,72.29,2.92708556060622,2484000
2017-02-01,75.08,75.52,74.08,2.98273365531925,3021300
2017-02-02,74.66,75.55,74.04,2.97518130543707,2412300
2017-02-03,75.15,75.75,74.92,3.00101796342731,2008000
2017-02-06,75.13,75.82,74.93,3.01214752672191,1737800
2017-02-07,76.18,77.09,76.06,3.04315138116502,1943100
2017-02-08,76.29,77.29,75.87,3.06024327155275,1540300
2017-02-09,77.2,78.33,77.08,3.09204225663614,2146900
2017-02-10,78.33,78.9,77.93,3.12264854575912,1994700
2017-02-13,79.3,80.23,79.18,3.17750174832338,1791200
2017-02-14,79.99,80.72,79.24,3.20731318504617,2611000
2017-02-15,80.59,82.24,80.4,3.26256371443907,3065200
2017-02-16,82.28,82.77,81.42,3.25978131367828,2664600
2017-02-17,81.67,83.1,81.62,3.30072231369566,2150300
2017-02-21,83.62,84.48,83.43,3.35319044232776,2780400
2017-02-22,84.1,84.58,83.66,3.3535880076479,1794000
2017-02-23,84.74,84.75,82.42,3.31741663876325,2611500
2017-02-24,82.26,83.91,82.2,3.33530354054551,2113829
2017-02-27,83.47,84.21,83.01,3.3452408451141,2184900
2017-02-28,84.17,84.25,82.74,3.31900662180372,1746000
2017-03-01,84.96,86.6,84.56,3.42632767476001,2635600
2017-03-02,86.16,86.16,84.56,3.37226956308744,1788300
2017-03-03,84.64,85.4,83.99,3.38975905854389,1443600
2017-03-06,84.36,85.16,83.71,3.36630751423437,1615600
2017-03-07,84.15,85.4,83.87,3.3496129109267,1476200
2017-03-08,84.48,85.52,84.19,3.36670480131443,1610500
2017-03-09,84.68,85.27,83.57,3.37703951220883,1840500
2017-03-10,86.05,86.36,84.91,3.41400569374509,2144000
2017-03-13,85.81,86.47,85.73,3.43387998489361,1411800
2017-03-14,85.8,85.93,84.72,3.40844093197208,2209200
2017-03-15,86.34,87.92,85.45,3.46806380541766,2658900
2017-03-16,87.85,87.85,86.57,3.46607625705706,1619800
2017-03-17,87.4,87.75,86.94,3.45772909452326,1471700
2017-03-20,86.99,87.87,86.6,3.46806380541766,1529000
2017-03-21,88.22,88.5,83.16,3.31344186003071,3898700
2017-03-22,83.41,85.23,83.02,3.37862949524929,2973900
2017-03-23,84.69,85.36,83.92,3.3516004592873,2461000
2017-03-24,85.12,86.11,83.88,3.36988476739536,2153600
2017-03-27,83.05,85.67,82.43,3.38777178842336,3135800
2017-03-28,85.22,87.57,84.69,3.45136948035006,3500000
2017-03-29,86.91,88.1,86.71,3.49708038974025,2007100
2017-03-30,87.95,88.71,87.66,3.51456956720804,2205300
2017-03-31,88.03,88.92,87.74,3.50622240467424,2256100
2017-04-03,88.47,89.08,86.62,3.49867009454064,2688400
2017-04-04,87.25,88.49,87.19,3.51456956720804,1351000
2017-04-05,88.85,90.38,86.89,3.47442373757951,3056700
2017-04-06,87.71,88.21,86.85,3.47720609859173,2568800
2017-04-07,87.42,88.17,86.43,3.47323100187053,1732300
2017-04-10,87.68,88.53,86.73,3.47720609859173,2015700
2017-04-11,87.14,87.58,84.43,3.43348241957348,3556100
2017-04-12,86.28,86.46,84.98,3.38816907550342,2837300
2017-04-13,84.9,86.37,84.18,3.34802320612631,2557100
2017-04-17,84.94,86.34,84.84,3.42752037072041,1513900
2017-04-18,85.43,86.68,85.27,3.41758322514615,2114800
2017-04-19,86.97,87.82,85.92,3.42950764084094,2398700
2017-04-20,87.33,89.0,86.93,3.5125823368361,3437200
2017-04-21,88.66,88.77,87.72,3.51099235379564,2251100
2017-04-24,91.25,91.8,90.86,3.63858526322059,2503000
2017-04-25,92.45,94.03,92.24,3.71927484553502,2671400
2017-04-26,93.66,94.33,92.96,3.70297808578755,3652500
2017-04-27,93.86,94.8,93.63,3.767768155686,2403200
2017-04-28,95.94,96.05,94.85,3.78923242987499,2854200
2017-05-01,96.21,98.22,96.09,3.88462906713649,2693100
2017-05-02,98.21,98.45,97.46,3.90768304612587,2517200
2017-05-03,97.71,97.72,96.55,3.86912684180057,3066100
2017-05-04,97.39,97.84,96.44,3.87310193852177,3025300
2017-05-05,98.14,98.5,97.09,3.91523535625948,2271100
2017-05-08,98.65,99.13,98.05,3.93868686082041,2552800
2017-05-09,99.56,100.83,99.34,3.98201297451852,3154900
2017-05-10,100.29,100.43,99.28,3.98837258869172,2341400
2017-05-11,99.53,100.15,98.13,3.97883300843759,2601400
2017-05-12,100.23,100.81,99.97,4.00466966642784,2439100
2017-05-15,100.85,101.86,100.59,4.04203341328423,2889200
2017-05-16,102.41,102.98,101.59,4.09291155887587,3211100
2017-05-17,100.55,101.08,95.05,3.78327006303327,5843200
2017-05-18,95.04,98.53,94.63,3.87906398737483,5016000
2017-05-19,98.54,100.04,98.46,3.92596735423393,3035200
2017-05-22,99.46,101.45,99.35,4.02772392365729,2723100
2017-05-23,102.16,102.2,100.82,4.03766106923156,2869100
2017-05-24,102.43,103.1,101.63,4.09330912419601,2705900
2017-05-25,104.11,106.36,103.46,4.20102774247243,3646000
2017-05-26,105.61,106.25,105.21,4.21891448526036,2269100
2017-05-30,105.88,106.75,105.77,4.22765921311429,2299728
2017-05-31,107.33,107.56,104.61,4.22249189741568,4037608
2017-06-01,106.86,107.59,105.55,4.27297259693293,3075630
2017-06-02,108.56,111.2489,108.09,4.41884989396311,3468526
2017-06-05,111.08,111.66,110.61,4.41527252155637,2144932
2017-06-06,110.68,111.76,109.26,4.36518930786209,3238944
2017-06-07,110.6,111.3,109.16,4.41288760661855,3392076
2017-06-08,111.71,111.88,109.57,4.42481218130766,3856782
2017-06-09,111.72,112.13,98.66,4.10483609381641,9714100
2017-06-12,100.4,101.86,97.4339,4.03050624492092,6935392
2017-06-13,102.98,104.18,101.435,4.12471038496493,5270497
2017-06-14,104.99,104.99,99.93,4.06945985557203,5792192
2017-06-15,99.25,101.34,97.3802,4.0146068120021,5881627
2017-06-16,100.8,100.87,98.57,3.96651102742267,3910730
2017-06-19,102.57,104.9586,102.11,4.15849667991742,4622725
2017-06-20,104.37,104.74,102.11,4.06429253987341,3580769
2017-06-21,102.88,105.32,102.67,4.18234582929566,3482858
2017-06-22,105.69,106.26,104.3,4.17757599942001,2851902
2017-06-23,104.73,106.7006,103.88,4.22447932653053,2866066
2017-06-26,108.03,108.67,104.13,4.16843382549169,4403424
2017-06-27,103.65,103.9899,99.1,3.93908450563771,6003650
2017-06-28,100.14,103.5822,98.44,4.10443860799344,5035946
2017-06-29,101.99,102.06,95.0,3.89536106511095,9648486
2017-06-30,98.85,99.61,97.09,3.88184654712995,4108961
2017-07-03,99.4,99.71,94.76,3.7761153182198,3398577
2017-07-05,95.73,98.49,94.85,3.88383397624481,4751440
2017-07-06,95.45,96.69,94.03,3.78128263391841,4430215
2017-07-07,96.07,98.9,96.0,3.89456609346501,3734312
