Date,Open,High,Low,Close,Volume
2016-01-07,179.15,181.0,177.5,150.222301744426,4951853
2016-01-08,178.965,179.53,175.65,148.625989193561,7357174
2016-01-11,177.04,177.32,174.06,148.642881389866,4481249
2016-01-12,177.75,178.36,175.26,149.876011720164,2997949
2016-01-13,178.43,178.64,172.72,146.21040512188,4125701
2016-01-14,173.79,177.18,172.06,148.583758702797,5081427
2016-01-15,171.2,173.0585,170.1,145.399579699218,8087103
2016-01-19,174.2,174.2899,170.72,145.56005556412,5863305
2016-01-20,169.59,171.88,165.96,143.853943737269,8576978
2016-01-21,170.79,173.14,169.33,144.554969883946,3003560
2016-01-22,174.03,174.86,173.18,147.519550335553,2609854
2016-01-25,174.1,174.33,171.8277,145.332010913997,2756649
2016-01-26,172.85,174.66,172.39,147.299951783582,2263679
2016-01-27,173.89,175.62,171.501,145.627624349342,3542994
2016-01-28,174.13,174.3516,171.65,146.421557575699,2616706
2016-01-29,174.34,177.75,174.08,150.129394664746,4453063
2016-02-01,176.61,178.39,175.91,149.994257094303,3920853
2016-02-02,175.86,176.09,173.8,147.274613489124,5101178
2016-02-03,175.47,175.81,171.57,148.136115500702,3871039
2016-02-04,174.95,176.7,174.23,148.321929660062,3562207
2016-02-05,175.04,175.19,171.65,145.534717269662,2371990
2016-02-08,170.29,170.6196,167.62,143.532992007465,3402016
2016-02-09,168.18,171.3699,167.97,143.575222498229,2360700
2016-02-10,170.93,172.65,169.72,143.482315418549,1953205
2016-02-11,167.26,168.72,166.05,141.641066021254,3439175
2016-02-12,169.54,171.14,168.6999,144.546523785793,1800434
2016-02-16,173.2,174.01,172.05,146.970553955626,2360977
2016-02-17,175.32,177.25,175.1248,149.377691929153,2265249
2016-02-18,177.2,177.22,175.8,148.744234567699,1646148
2016-02-19,175.28,176.2,174.6499,148.710450175088,1136909
2016-02-22,177.78,178.75,177.71,150.838866909575,2603066
2016-02-23,177.92,178.19,176.22,148.946940923364,2076005
2016-02-24,174.79,177.45,173.6,149.647967070041,2599814
2016-02-25,177.7,179.31,176.83,151.446985976572,2546042
2016-02-26,180.2,180.36,178.74,151.168264737532,2560772
2016-02-29,178.94,179.95,177.38,149.816889033095,3125830
2016-03-01,178.84,181.75,178.33,153.507833925838,3041355
